hour,month,seasonal_mean,regime
5,2,1.0385588235294119,regime_3
5,3,0.0029569892473118283,regime_3
5,4,0.04138888888888889,regime_3
5,5,0.004086021505376344,regime_3
5,6,0.0,regime_3
5,7,0.0,regime_3
5,8,0.00016129032258064516,regime_3
5,9,0.0,regime_3
5,10,0.007419354838709678,regime_3
5,11,0.08644444444444443,regime_3
5,12,0.015869565217391305,regime_3
6,1,0.15408602150537634,regime_3
6,2,6.853676470588235,regime_3
6,3,1.7126075268817205,regime_3
6,4,0.27805555555555556,regime_3
6,5,0.022284946236559137,regime_3
6,6,0.0,regime_3
6,7,0.0,regime_3
6,8,0.03362903225806452,regime_3
6,9,0.0,regime_3
6,10,0.005483870967741935,regime_3
6,11,0.21230555555555553,regime_3
6,12,0.03692934782608696,regime_3
7,1,1.4920967741935485,regime_3
7,2,14.78120588235294,regime_3
7,3,2.3769086021505377,regime_3
7,4,0.7396111111111111,regime_3
7,5,0.07645161290322582,regime_3
7,6,0.0,regime_3
7,7,0.0,regime_3
7,8,0.025456989247311827,regime_3
7,9,0.0,regime_3
7,10,0.056801075268817204,regime_3
7,11,0.9331944444444444,regime_3
7,12,0.5972010869565217,regime_3
8,1,0.773763440860215,regime_3
8,2,18.791,regime_3
8,3,0.20658602150537636,regime_3
8,4,0.12708333333333333,regime_3
8,5,0.031075268817204297,regime_3
8,6,0.0,regime_3
8,7,0.0,regime_3
8,8,0.008629032258064516,regime_3
8,9,0.0001666666666666667,regime_3
8,10,0.06258064516129033,regime_3
8,11,0.063,regime_3
8,12,0.13345108695652175,regime_3
9,1,0.22150537634408604,regime_3
9,2,22.077205882352942,regime_3
9,3,0.02838709677419355,regime_3
9,4,0.013416666666666667,regime_3
9,5,0.11897849462365591,regime_3
9,6,0.0,regime_3
9,7,0.0,regime_3
9,8,0.00013440860215053763,regime_3
9,9,0.0,regime_3
9,10,0.002849462365591398,regime_3
9,11,0.07583333333333334,regime_3
9,12,0.014836956521739131,regime_3
10,1,0.09443548387096774,regime_3
10,2,6.436441176470588,regime_3
10,3,0.044973118279569894,regime_3
10,4,0.0010277777777777778,regime_3
10,5,0.03599462365591398,regime_3
10,6,0.0,regime_3
10,7,0.00018817204301075272,regime_3
10,8,0.006908602150537635,regime_3
10,9,0.0019722222222222224,regime_3
10,10,0.017795698924731183,regime_3
10,11,0.07672222222222222,regime_3
10,12,0.017472826086956522,regime_3
11,1,0.01610215053763441,regime_3
11,2,0.10970588235294117,regime_3
11,3,0.023736559139784945,regime_3
11,4,0.014,regime_3
11,5,0.013440860215053764,regime_3
11,6,0.0009722222222222223,regime_3
11,7,0.030026881720430106,regime_3
11,8,0.11983870967741937,regime_3
11,9,0.0018055555555555557,regime_3
11,10,0.13239247311827956,regime_3
11,11,0.01672222222222222,regime_3
11,12,0.01171195652173913,regime_3
12,1,0.0022311827956989247,regime_3
12,2,0.015794117647058823,regime_3
12,3,0.006827956989247312,regime_3
12,4,0.2643611111111111,regime_3
12,5,0.09666666666666666,regime_3
12,6,0.02402777777777778,regime_3
12,7,4.127069892473118,regime_3
12,8,2.4841397849462368,regime_3
12,9,0.15625,regime_3
12,10,0.0125,regime_3
12,11,0.04236111111111111,regime_3
12,12,0.003994565217391304,regime_3
13,1,0.0015053763440860217,regime_3
13,2,0.0003235294117647059,regime_3
13,3,0.03075268817204301,regime_3
13,4,1.0402222222222222,regime_3
13,5,0.8804032258064516,regime_3
13,6,0.2520277777777778,regime_3
13,7,18.35680107526882,regime_3
13,8,8.049596774193548,regime_3
13,9,1.7509444444444446,regime_3
13,10,0.05704301075268817,regime_3
13,11,0.024,regime_3
13,12,0.0025,regime_3
14,1,0.00021505376344086021,regime_3
14,2,0.00017647058823529413,regime_3
14,3,0.109247311827957,regime_3
14,4,0.8535277777777779,regime_3
14,5,9.394193548387097,regime_3
14,6,1.2227222222222223,regime_3
14,7,17.35680107526882,regime_3
14,8,11.475188172043012,regime_3
14,9,2.022527777777778,regime_3
14,10,0.18973118279569892,regime_3
14,11,0.0021666666666666666,regime_3
14,12,0.007880434782608695,regime_3
15,1,0.0,regime_3
15,2,5.882352941176471e-05,regime_3
15,3,0.030806451612903227,regime_3
15,4,0.07713888888888888,regime_3
15,5,21.87978494623656,regime_3
15,6,0.8595555555555555,regime_3
15,7,30.45043010752688,regime_3
15,8,11.022069892473118,regime_3
15,9,3.43125,regime_3
15,10,0.621505376344086,regime_3
15,11,0.00011111111111111112,regime_3
15,12,0.006141304347826087,regime_3
16,1,0.0016397849462365592,regime_3
16,2,0.0006764705882352941,regime_3
16,3,0.004408602150537634,regime_3
16,4,0.04975,regime_3
16,5,8.066908602150539,regime_3
16,6,1.1034722222222222,regime_3
16,7,35.0522311827957,regime_3
16,8,9.201505376344086,regime_3
16,9,4.1177222222222225,regime_3
16,10,2.214193548387097,regime_3
16,11,0.026083333333333333,regime_3
16,12,0.02141304347826087,regime_3
17,1,0.16771505376344087,regime_3
17,2,0.026088235294117645,regime_3
17,3,0.059247311827956985,regime_3
17,4,0.00988888888888889,regime_3
17,5,14.304408602150538,regime_3
17,6,0.7504722222222223,regime_3
17,7,21.879059139784946,regime_3
17,8,5.91489247311828,regime_3
17,9,4.266388888888889,regime_3
17,10,2.8231451612903227,regime_3
17,11,5.429,regime_3
17,12,1.0069021739130435,regime_3
18,1,1.0826612903225807,regime_3
18,2,1.1446176470588236,regime_3
18,3,1.5419086021505377,regime_3
18,4,0.025277777777777777,regime_3
18,5,0.7883064516129032,regime_3
18,6,0.5678888888888889,regime_3
18,7,16.38274193548387,regime_3
18,8,4.819462365591398,regime_3
18,9,8.612027777777778,regime_3
18,10,19.773602150537634,regime_3
18,11,3.9578333333333333,regime_3
18,12,2.325108695652174,regime_3
19,1,0.827016129032258,regime_3
19,2,0.6988823529411765,regime_3
19,3,5.594811827956989,regime_3
19,4,5.062916666666667,regime_3
19,5,5.27252688172043,regime_3
19,6,0.8985277777777778,regime_3
19,7,10.696236559139784,regime_3
19,8,20.684112903225806,regime_3
19,9,16.518305555555557,regime_3
19,10,7.929650537634409,regime_3
19,11,0.885,regime_3
19,12,3.5054891304347824,regime_3
20,1,0.3947311827956989,regime_3
20,2,0.7773235294117646,regime_3
20,3,3.2538709677419355,regime_3
20,4,17.047027777777778,regime_3
20,5,11.510349462365593,regime_3
20,6,1.797722222222222,regime_3
20,7,7.8365053763440855,regime_3
20,8,32.317580645161286,regime_3
20,9,5.036222222222222,regime_3
20,10,0.20373655913978497,regime_3
20,11,0.4041111111111111,regime_3
20,12,5.107472826086957,regime_3
21,1,0.05983870967741935,regime_3
21,2,2.3616470588235297,regime_3
21,3,0.25943548387096776,regime_3
21,4,4.749361111111111,regime_3
21,5,1.578198924731183,regime_3
21,6,0.46197222222222223,regime_3
21,7,0.8156451612903225,regime_3
21,8,1.5361290322580643,regime_3
21,9,0.07508333333333334,regime_3
21,10,0.031048387096774197,regime_3
